iter	Passed	Remaining
0	0	886
1	1	834
2	2	822
3	3	854
4	4	903
5	5	950
6	6	942
7	7	920
8	8	908
9	9	903
10	9	881
11	10	871
12	11	859
13	12	848
14	12	843
15	13	837
16	14	825
17	15	819
18	15	822
19	16	819
20	17	819
21	18	815
22	19	825
23	20	826
24	21	826
25	21	822
26	22	816
27	23	814
28	24	815
29	25	812
30	25	808
31	26	803
32	27	801
33	28	797
34	28	795
35	29	793
36	30	790
37	31	788
38	31	786
39	32	790
40	34	795
41	34	796
42	35	796
43	36	796
44	37	794
45	38	793
46	39	792
47	39	789
48	40	788
49	41	785
50	42	783
51	42	783
52	43	782
53	44	781
54	45	779
55	46	779
56	47	787
57	48	788
58	49	789
59	50	787
60	50	784
61	51	781
62	52	781
63	53	780
64	54	779
65	54	777
66	55	776
67	56	774
68	57	772
69	58	772
70	58	768
71	59	766
72	60	764
73	61	773
74	62	774
75	63	773
76	64	771
77	65	768
78	65	766
79	66	764
80	67	764
81	68	762
82	68	757
83	69	755
84	69	752
85	70	750
86	71	750
87	72	748
88	72	747
89	73	745
90	74	743
91	75	743
92	76	745
93	77	747
94	78	748
95	79	750
96	80	749
97	81	748
98	82	748
99	83	747
100	83	745
101	84	744
102	85	743
103	86	741
104	86	740
105	87	738
106	88	737
107	89	735
108	90	737
109	91	737
110	92	737
111	92	736
112	93	737
113	94	737
114	95	736
115	96	736
116	97	736
117	98	735
118	99	735
119	100	734
120	100	733
121	101	730
122	102	729
123	103	728
124	103	726
125	104	725
126	105	725
127	106	725
128	107	724
129	107	722
130	108	721
131	109	720
132	110	718
133	111	718
134	111	716
135	112	715
136	113	713
137	113	711
138	114	710
139	115	708
140	116	707
141	116	704
142	117	702
143	118	701
144	119	701
145	120	705
146	121	706
147	122	705
148	123	704
149	124	703
150	124	701
151	125	700
152	126	699
153	127	698
154	127	696
155	128	695
156	129	693
157	129	692
158	130	691
159	131	690
160	131	687
161	132	686
162	133	686
163	134	686
164	135	685
165	136	684
166	136	683
167	137	682
168	138	680
